AI Risk Register,PsychSync,NIST AI RMF Mapping,2025-01-01
Risk ID,Risk Category,Risk Name,Description,NIST Function,Owner,Likelihood,Impact (1-5),Risk Score,Current Mitigations,Additional Mitigations Required,Timeline,Status,KPI,Metric Target,OWASP LLM Top 10
GOV-001,Governance,Lack of AI Governance Framework,"No formal AI governance committee or policies defined",Govern,CISO,Medium,4,12,"Basic security policies exist, but no AI-specific governance","Establish AI governance committee, create AI acceptance policy","Q1 2025",Open,"Policy coverage %","100% policies in place",N/A
GOV-002,Governance,Undefined Model Acceptance Criteria,"No clear process for approving models for production use",Govern,CTO,High,5,25,"Ad-hoc model selection without formal review","Implement model acceptance criteria, create review board","Q1 2025",Open,"Models reviewed %","100% of models reviewed",N/A
GOV-003,Governance,Missing AI Inventory,"Incomplete inventory of AI systems, models, and usage",Govern,Head of AI,High,4,20,"Partial inventory of Claude models, no comprehensive registry","Complete AI systems inventory, maintain living document","Q1 2025",Open,"Inventory completeness %","95% of systems documented",N/A
GOV-004,Governance,Undefined AI Roles & Responsibilities,"Ambiguous accountability for AI-related decisions",Govern,CEO,Medium,3,9,"Some role definitions but unclear escalation paths","Define RACI matrix for AI decisions, establish escalation process","Q1 2025",Open,"Role clarity score","100% roles defined",N/A
MAP-001,Risk Mapping,Incomplete AI Risk Assessment,"Risks identified but not systematically mapped or prioritized",Map,Head of AI,High,4,20,"Ad-hoc risk identification during development","Conduct comprehensive AI risk assessment, create risk taxonomy","Q2 2025",Open,"Risks documented %","100% risks mapped",N/A
MAP-002,Risk Mapping,Missing Use Case Analysis,"AI deployed without thorough use case risk analysis",Map,Product Lead,Medium,4,16,"Some business case analysis but limited risk consideration","Implement use case risk questionnaire, require approval for high-risk cases","Q2 2025",Open,"Use cases reviewed %","100% use cases assessed",N/A
MAP-003,Risk Mapping,Unclear AI Context Classification,"No formal classification of AI system risk levels (low/medium/high)",Map,CISO,Medium,4,16,"Informal risk assessment without standard criteria","Define AI system risk classification framework, categorize all systems","Q1 2025",Open,"Systems classified %","100% systems classified",N/A
MAP-004,Risk Mapping,Undefined Supply Chain Risks,"Third-party AI providers (Anthropic) not fully assessed",Map,CISO,High,4,20,"Basic vendor review but no comprehensive supply chain mapping","Map AI supply chain, assess vendor controls, create contingency plans","Q2 2025",Open,"Vendors assessed %","100% vendors reviewed",N/A
MEAS-001,Measure,Missing AI Safety Metrics,"No automated measurement of model safety, reliability, fairness",Measure,Head of AI,High,4,20,"Manual review of some model outputs","Implement automated safety metrics dashboard, continuous monitoring","Q2 2025",Open,"Metric coverage %","90% metrics automated",N/A
MEAS-002,Measure,No Bias Detection System,"Lack of systematic bias detection and monitoring",Measure,Head of AI,High,4,20,"Ad-hoc bias checks during testing","Implement bias detection tools, regular bias audits, fairness metrics","Q2 2025",Open,"Bias audit frequency","Quarterly bias audits",N/A
